Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
4/29/2019,Sale,Sales Shipment,SHP102873,01-11-007-NC,"Non-Cert. Red Slicing Tomatoes, 18 lb...",,,4/24/2020,G-STC-114,DURHAM,-2,-2,0,0,-2,84,-72,0,No, ,3494,TOMATOES,
4/29/2019,Sale,Sales Shipment,SHP102873,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,4/26/2020,G-WT-116,DURHAM,-3,-3,0,-120,-3,120,-90,0,No, ,3493,SWEET POTATOES,
4/29/2019,Sale,Sales Shipment,SHP102873,01-18-007-NC,"Non-Cert. Butterhead Lettuce, 12 ct...",,,4/23/2020,LLU-113,DURHAM,-2,-2,0,0,-2,45,-36,0,No, ,3492,LETTUCE,
4/29/2019,Sale,Sales Shipment,SHP102873,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/24/2020,G-UH-114,DURHAM,-2,-2,0,0,-2,64,-50,0,No, ,3491,BEETS,
4/29/2019,Sale,Sales Shipment,SHP102872,01-28-012-NC,"Non-Cert. Lions Mane Mushrooms, 3 lb.",,,4/29/2020,FFF-119,DURHAM,-1,-1,0,0,-1,36,-27,0,No, ,3490,MUSHROOMS,
4/29/2019,Sale,Sales Shipment,SHP102872,01-28-006-NC,"Non-Cert. King Oyster Mushrooms, 3 lb.",,,4/29/2020,FFF-119,DURHAM,-1,-1,0,0,-1,36,-27,0,No, ,3489,MUSHROOMS,
4/29/2019,Sale,Sales Shipment,SHP102872,01-11-007-NC,"Non-Cert. Red Slicing Tomatoes, 18 lb...",,,4/24/2020,G-STC-114,DURHAM,-3,-3,0,0,-3,126,-108,0,No, ,3488,TOMATOES,
4/29/2019,Sale,Sales Shipment,SHP102872,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,4/26/2020,G-WT-116,DURHAM,-2,-2,0,-80,-2,80,-60,0,No, ,3487,SWEET POTATOES,
4/29/2019,Sale,Sales Shipment,SHP102872,01-42-008-OG,"OG Rainbow Chard, bunched, 24 ct...",,,4/22/2020,G-UH-112,DURHAM,-1,-1,0,-25,-1,28.75,-26,0,No, ,3486,CHARD,
4/29/2019,Purchase,Purchase Receipt,RCP107545,01-11-007-NC,"Non-Cert. Red Slicing Tomatoes, 18 lb...",,,4/29/2020,STC-119,DURHAM,56,56,0,0,56,0,"2,016.00",0,No, ,3485,TOMATOES,
